职位,公司,薪资,学历,位置,工作经验要求,福利待遇
爬虫工程师,广州市搜游网络科技,15k-20k,不限,天河区,3-5年,五险一金，弹性上班，年终奖13薪
爬虫工程师,广州市搜游网络科技,15k-30k,大专,天河区,3-5年,下午茶 五险一金 餐补车补
爬虫工程师,文盛资产,15k-18k,本科,天河区,3-5年,"稳定性好,公司效益好，福利完善"
资深爬虫工程师,唯品会,25k-45k,本科,荔湾区,5-10年,核心团队
高级爬虫工程师,DataStory,18k-22k,本科,天河区,5-10年,"高速发展,领导好,氛围好,业务导向"
高级爬虫工程师,大麦电商,14k-20k,本科,越秀区,5-10年,五险一金、双休
高级爬虫工程师,文盛资产,15k-18k,本科,天河区,3-5年,"公司业绩好,福利完善,稳定性好"
高级Python工程师（爬虫）(J10059),中康资讯,15k-25k,本科,天河区,5-10年,大健康产业 发展前景大 福利佳
爬虫工程师,衣神科技,9k-13k,不限,天河区,应届毕业生,年轻有活力实力雄厚福利多多上升空间无限
爬虫工程师(J10367),有米科技,15k-25k,本科,番禺区,1-3年,六险一金 周末双休 优秀团队
爬虫工程师,头文科技,7k-14k,本科,番禺区,1-3年,周末双休，扁平化管理，互联网内容营销
资深爬虫工程师,万方信安,10k-20k,本科,番禺区,3-5年,发展前景
爬虫(J10367),有米科技,15k-25k,本科,番禺区,1-3年,福利丰厚 带薪假期 优秀团队
爬虫工程师,万博科技,15k-28k,大专,海珠区,3-5年,年底奖金，项目奖金，带薪旅游，带薪年假
python爬虫,毅立特,8k-13k,不限,天河区,不限,面议
Python开发工程师【珠江新城】,经传多赢,7k-14k,大专,番禺区,1-3年,"扁平化管理,绩效奖金,年底多薪,产品专业"
java开发工程师,平云科技,8k-12k,本科,天河区,1-3年,五险一金，晋升空间大，年底双薪，福利好
初级数据挖掘分析模型设计,长亮科技,8k-15k,硕士,天河区,不限,"金融,大数据,学习型团队"
java开发工程师,广州晶绮信息科技有限...,8k-12k,大专,番禺区,1-3年,五险一金 团队nice 餐补
后端实习生,Mobvista,2k-3k,大专,天河区,应届毕业生,免费三餐+下午茶 弹性上班时间
高级Golang开发工程师,安豆科技,15k-25k,大专,天河区,1-3年,福利待遇好，发展空间大
python web讲师,传智播客,25k-50k,大专,天河区,5-10年,五险一金、餐补交补、节日福利、年度旅游
python高级讲师,传智播客,25k-50k,本科,天河区,5-10年,五险一金、餐补交补、节日福利、年度旅游
java高级开发工程师,擎盾数据,8k-16k,不限,天河区,不限,前端
Python开发工程师,太平洋网络有限公司,15k-26k,本科,天河区,3-5年,五险一金 发展空间 大型互联网公司
java开发工程师,广东麦贝科技有限公司,5k-10k,大专,海珠区,1-3年,年终奖金 五险一金 周末双休 带薪年假
Java开发工程师,拉勾网,3k-4k,本科,天河区,3-5年,工资高
php开发工程师,卖家宝,8k-15k,本科,天河区,1-3年,加班工资 季度活动 带薪年假
数据运营专员,粤达互娱,7k-12k,不限,天河区,1-3年,五险一金 周末双休
易语言工程师,蜂擎科技,6k-8k,大专,白云区,1-3年,发展前景广，福利待遇无上限
NET/PHP综合开发工程师（初级）,英邦科技,6k-9k,大专,越秀区,1-3年,法定假日、双休、社保、定期活动等。
产品专员,西洋汇,6k-10k,本科,海珠区,应届毕业生,行业前景好，发展空间大，机会多
外贸运营实习生,广州汉婷,1k-2k,大专,天河区,应届毕业生,英语好 爱挑战 爱学习 有故事 想成长
实习生（偏文职）,广州汉婷,1k-2k,大专,天河区,应届毕业生,英语好 爱挑战 爱学习 有故事 想成长
产品经理,头文科技,15k-25k,本科,番禺区,3-5年,"领导随和,同事可爱,福利好,上升空间大"
c++,卓狐科技,10k-15k,大专,海珠区,1-3年,给你一个晋升平台
爬虫工程师(J10099),有米科技,10k-20k,本科,番禺区,3-5年,"六险一金,员工福利多,工作氛围好,扁平化"
爬虫,文盛资产,15k-18k,本科,天河区,3-5年,公司前景好，稳定性好，福利完善
自然语言处理 nlp,文盛资产,30k-35k,本科,天河区,3-5年,"稳定性好,公司效益好，福利完善"
算法工程师,文盛资产,30k-35k,本科,天河区,3-5年,"稳定性好,效益好"
阿里巴巴国际站运营 SEO专员,广州汉婷,5k-8k,不限,天河区,1-3年,SEO网站优化 SEO推广 阿里巴巴
阿里巴巴国际站运营,广州汉婷,1k-2k,大专,天河区,应届毕业生,网站优化 国际站运营 排名优化 搜索引擎
